真是花中瑞|本朝名始闻|江南一梦后|天下遇清芬
悠然望江南|日出烟霭微|倚门双白发|屈指待儿归
挺挺潇湘玉|平生意独耽|玉堂风雨夜|思尔隔江南
幽人纫为佩|不为香与色|秋菊暨江南|未可比君德
本谓江南乐|佩刀居帐下|渔阳饮飞士|无一生还者
烟柳碧毵毵|泥融燕子酣|断肠春色好|无处似江南
桃花浪初起|三月尔江南|万树垂杨色|相留照暮酣
老向江南住|梅花共岁寒|故人清兴在|踏雪几回看
江南渌水多|顾影逗轻波|落日秦云里|山高奈若何
素质比瑶瑰|贞心不易摧|江南春信早|先寄一枝来
风雨滞残春|岂但梨花闷|梦里万重山|叠起江南恨
凤管何参差|吹作江南弄|怨来浑似痴|喜剧翻如梦
塞北多冰雪|江南足稻粱|相求应同类|莫近艾如张
雁影金河尽|梅花玉管催|江南望春色|独上凤凰台
江南多海味|异品四时有|秋风紫蟹肥|呼朋酌新酒
未报江南信|先开雪里村|要看花上月|立马待黄昏
独把重阳酒|西风白雁回|江南菊花早|应傍美人开
陇头人未来|江南春几许|惆怅玉笛声|吹落胭脂雨
江南季春天|莼叶细如弦|池边草作径|湖上叶如船
几载途中月|窥愁酒半酣|送人杨柳色|今日是江南
江南孟夏天|慈竹笋如编|蜃气为楼阁|蛙声作管弦
晼晚幽人佩|江南水石间|红尘没马耳|此意政相关
客从幽州来|幽州乐何许|胡姬作两鬟|尽是江南女
西曹衔命出|何日下都门|蚤见江南雨|应申孝妇冤
绿树坐黄鹂|青秧点白鹭|睡起倚船窗|知是江南路
高斋长对酒|下客亦沾鱼|不为江南去|还来郡北居
树拥溪边阁|山浮雨后岚|白头归未得|画里望江南
夜雨江南梦|春风陌上情|东皇如有意|移向玉阶生
荒城孤绝处|犹指玉钩亭|凉月遍宜上|江南山更青
步出城南门|怅望江南路|前日风雨中|故人从此去
江南孟春天|荇叶大如钱|白雪装梅树|青袍似葑田
芦叶满沙洲|凫翁取次游|生绡才半尺|占得江南秋
潇洒渭川上|数竿净如许|秋思满江南|寒烟淡疏雨
江南江北来|昨夜同枝宿|平明一声起|回顾已极目
片帆何处去|匹马独归迟|惆怅江南北|青山欲暮时
招招问舟子|船是江南不|以我木棉花|换尔金阊酒
石梁跨飞虹|水清鱼可数|莫谓非通津|亦有江南估
